id,strike,dip,lon,lat
30,285,19,-89.93923937,46.66609568
31,271,20,-89.94058796,46.66650958
32,264,19,-89.93967951,46.66720938
33,271,20,-89.9398949,46.6682541
34,249,10,-89.94044749,46.67223579
35,226,8,-89.94022347,46.67377248
1,212,8,-89.94144306,46.67608325
1,237,6,-89.94989582,46.6773987
1,100,7,-89.97651754,46.69764339
1,135,8,-89.97442797,46.70289077
1,174,6,-89.98271582,46.70633993
1,145,7,-89.97549889,46.71115921
1,266,26,-89.93824381,46.6584843
