length,lon,lat,elevation
0,-88.07909666,48.71331867,-12.02540874
102.6760563,-88.07825782,48.71258105,-11.62529278
205.3521127,-88.07741899,48.71184343,-11.32530499
308.028169,-88.07658015,48.71110582,-10.82530499
410.7042254,-88.07574132,48.7103682,-10.32530499
513.3802817,-88.07490248,48.70963058,-9.025210381
616.056338,-88.07406365,48.70889296,-8.425204277
718.7323944,-88.07322481,48.70815535,-7.625201225
821.4084507,-88.07238598,48.70741773,-6.72519207
924.084507,-88.07154715,48.70668011,-5.725100994
1026.760563,-88.07070831,48.70594249,-4.325107098
1129.43662,-88.06986948,48.70520488,-2.525104046
1232.112676,-88.06903064,48.70446726,-0.025103999
1334.788732,-88.06819181,48.70372964,2.975003004
1437.464789,-88.06735297,48.70299203,4.975002766
1540.140845,-88.06651414,48.70225441,9.475003242
1642.816901,-88.06567531,48.70151679,14.67500019
1745.492958,-88.06483647,48.70077917,19.77509689
1848.169014,-88.06399764,48.70004156,23.47509384
1950.84507,-88.0631588,48.69930394,25.27509689
2053.521127,-88.06231997,48.69856632,25.47509384
2156.197183,-88.06148113,48.6978287,24.97520065
2258.873239,-88.0606423,48.69709109,29.37520981
2361.549296,-88.05980346,48.69635347,28.87520981
2464.225352,-88.05896463,48.69561585,28.57520676
2566.901408,-88.0581258,48.69487823,28.1751976
2669.577465,-88.05728696,48.69414062,27.67528915
2772.253521,-88.05644813,48.693403,26.97529221
2874.929577,-88.05560929,48.69266538,26.17528915
2977.605634,-88.05477046,48.69192776,25.07529831
3080.28169,-88.05393162,48.69119015,23.77540207
3182.957746,-88.05309279,48.69045253,25.77540207
3285.633803,-88.05225395,48.68971491,23.77540207
3388.309859,-88.05141512,48.68897729,21.77540207
3490.985915,-88.05057629,48.68823968,19.77549362
3593.661972,-88.04973745,48.68750206,17.87549973
3696.338028,-88.04889862,48.68676444,15.97549152
3799.014085,-88.04805978,48.68602683,14.17548847
3901.690141,-88.04722095,48.68528921,12.37560654
4004.366197,-88.04638211,48.68455159,10.47559834
4107.042254,-88.04554328,48.68381397,10.47559834
4209.71831,-88.04470444,48.68307636,8.575604439
4312.394366,-88.04386561,48.68233874,6.675594807
4415.070423,-88.04302678,48.68160112,4.675686836
4517.746479,-88.04218794,48.6808635,2.675687075
4620.422535,-88.04134911,48.68012589,0.575695992
4723.098592,-88.04051027,48.67938827,-1.524309993
4825.774648,-88.03967144,48.67865065,-3.72420001
4928.450704,-88.0388326,48.67791303,-5.824205875
5031.126761,-88.03799377,48.67717542,-6.224199772
5133.802817,-88.03715493,48.6764378,-8.5242033
5236.478873,-88.0363161,48.67570018,-10.82409954
5339.15493,-88.03547727,48.67496256,-13.12408733
5441.830986,-88.03463843,48.67422495,-15.22409344
5544.507042,-88.0337996,48.67348733,-17.12408829
5647.183099,-88.03296076,48.67274971,-18.52400589
5749.859155,-88.03212193,48.67201209,-19.52400589
5852.535211,-88.03128309,48.67127448,-19.52400589
5955.211268,-88.03044426,48.67053686,-19.92399979
6057.887324,-88.02960543,48.66979924,-20.02400589
6160.56338,-88.02876659,48.66906162,-20.12388992
6263.239437,-88.02792776,48.66832401,-20.12388992
6365.915493,-88.02708892,48.66758639,-20.02389908
6468.591549,-88.02625009,48.66684877,-19.92389297
6571.267606,-88.02541125,48.66611116,-19.52380753
6673.943662,-88.02457242,48.66537354,-19.22380447
6776.619718,-88.02373358,48.66463592,-19.12379837
6879.295775,-88.02289475,48.6638983,-19.72369766
6981.971831,-88.02205592,48.66316069,-21.52370071
7084.647887,-88.02121708,48.66242307,-25.32370377
7187.323944,-88.02037825,48.66168545,-31.22369766
7290,-88.01953941,48.66094783,-39.02370071
