length,lon,lat,elevation
0,-88.10264813,48.71064432,16.77410507
100,-88.10181071,48.70993646,9.774106026
200,-88.10097328,48.7092286,3.774197102
300,-88.10013586,48.70852074,-2.225802898
400,-88.09929843,48.70781288,-1.225803018
500,-88.09846101,48.70710502,-6.725801945
600,-88.09762359,48.70639716,-9.525698662
700,-88.09678616,48.7056893,-11.02569866
800,-88.09594874,48.70498144,-11.12569046
900,-88.09511132,48.70427358,-10.02569866
1000,-88.09427389,48.70356572,-8.025607109
1100,-88.09343647,48.70285787,-3.225604057
1200,-88.09259904,48.70215001,-2.225604057
1300,-88.09176162,48.70144215,-2.225604057
1400,-88.0909242,48.70073429,-2.225497007
1500,-88.09008677,48.70002643,7.774503231
1600,-88.08924935,48.69931857,17.7745018
1700,-88.08841193,48.69861071,17.7745018
1800,-88.0875745,48.69790285,17.77459335
1900,-88.08673708,48.69719499,16.77459335
2000,-88.08589965,48.69648713,14.77459431
2100,-88.08506223,48.69577927,13.77459431
2200,-88.08422481,48.69507141,14.77459431
2300,-88.08338738,48.69436355,25.77470016
2400,-88.08254996,48.69365569,40.77470016
2500,-88.08171254,48.69294783,38.77470016
2600,-88.08087511,48.69223997,28.77470016
2700,-88.08003769,48.69153212,11.77479267
2800,-88.07920026,48.69082426,13.77479267
2900,-88.07836284,48.6901164,14.77479267
3000,-88.07752542,48.68940854,16.77479172
3100,-88.07668799,48.68870068,21.77489853
3200,-88.07585057,48.68799282,20.77489853
3300,-88.07501315,48.68728496,26.77489853
3400,-88.07417572,48.6865771,29.77489853
3500,-88.0733383,48.68586924,32.77500534
3600,-88.07250087,48.68516138,30.77500534
3700,-88.07166345,48.68445352,29.77500534
3800,-88.07082603,48.68374566,28.77500534
3900,-88.0699886,48.6830378,28.77500534
4000,-88.06915118,48.68232994,27.77509689
4100,-88.06831375,48.68162208,27.77509689
4200,-88.06747633,48.68091423,30.77509689
4300,-88.06663891,48.68020637,26.77509689
4400,-88.06580148,48.67949851,22.7752037
4500,-88.06496406,48.67879065,22.7752037
4600,-88.06412664,48.67808279,18.07520676
4700,-88.06328921,48.67737493,14.87521076
4800,-88.06245179,48.67666707,11.47529316
4900,-88.06161436,48.67595921,8.075299263
5000,-88.06077694,48.67525135,4.775296211
5100,-88.05993952,48.67454349,1.675289989
5200,-88.05910209,48.67383563,0.675289989
5300,-88.05826467,48.67312777,-2.224596977
5400,-88.05742725,48.67241991,-4.924593925
5500,-88.05658982,48.67171205,-7.524600029
5600,-88.0557524,48.67100419,-10.12459087
5700,-88.05491497,48.67029634,-12.62449932
5800,-88.05407755,48.66958848,-13.52450848
5900,-88.05324013,48.66888062,-15.82451153
6000,-88.0524027,48.66817276,-17.32451248
6100,-88.05156528,48.6674649,-17.32440567
6200,-88.05072786,48.66675704,-15.62439346
6300,-88.04989043,48.66604918,-12.52440166
6400,-88.04905301,48.66534132,-0.224399
6500,-88.04821558,48.66463346,-1.224306941
6600,-88.04737816,48.6639256,-0.724307001
6700,-88.04654074,48.66321774,7.77569294
6800,-88.04570331,48.66250988,20.77569199
6900,-88.04486589,48.66180202,40.77569199
7000,-88.04402847,48.66109416,56.7757988
7100,-88.04319104,48.6603863,42.7757988
7200,-88.04235362,48.65967845,40.7757988
7300,-88.04151619,48.65897059,25.7757988
7400,-88.04067877,48.65826273,12.97590446
7500,-88.03984135,48.65755487,5.575910091
7600,-88.03900392,48.65684701,-0.924090981
7700,-88.0381665,48.65613915,-6.424089909
7800,-88.03732907,48.65543129,-9.224001884
7900,-88.03649165,48.65472343,-14.32400799
8000,-88.03565423,48.65401557,-20.42399979
8100,-88.0348168,48.65330771,-28.32400894
