id,strike,dip,Elevation,lon,lat
1,225,25,268,-88.91296774,46.96799025
1,230,20,370,-88.81016759,46.90835887
1,225,40,394,-88.8163143,46.91389333
1,223,65,417,-88.82483046,46.92242824
1,225,50,446,-88.83690984,46.92532467
1,225,35,264,-88.90179308,46.94105788
1,225,5,260,-88.90987067,47.01293496
