length,lon,lat,elevation
0,-90.21713496,46.40205869,454.2020264
31.1722432,-90.21743387,46.40224845,454.2020264
62.34448639,-90.21773279,46.40243821,454.2020264
93.51672959,-90.21803171,46.40262797,454.2020264
124.6889728,-90.21833063,46.40281773,454.2020264
155.861216,-90.21862955,46.40300749,454.2020264
187.0334592,-90.21892846,46.40319724,454.2020264
218.2057024,-90.21922738,46.403387,454.2020264
249.3779456,-90.2195263,46.40357676,454.2020264
280.5501888,-90.21982522,46.40376652,454.2020264
311.722432,-90.22012413,46.40395628,454.2020264
342.8946752,-90.22042305,46.40414604,454.2020264
374.0669184,-90.22072197,46.4043358,454.2020264
405.2391615,-90.22102089,46.40452556,454.2020264
436.4114047,-90.22131981,46.40471531,454.2020264
467.5836479,-90.22161872,46.40490507,454.2020264
498.7558911,-90.22191764,46.40509483,454.2020264
529.9281343,-90.22221656,46.40528459,454.2020264
561.1003775,-90.22251548,46.40547435,454.2020264
592.2726207,-90.2228144,46.40566411,454.2020264
623.4448639,-90.22311331,46.40585387,454.2020264
654.6171071,-90.22341223,46.40604362,454.2020264
685.7893503,-90.22371115,46.40623338,454.2020264
716.9615935,-90.22401007,46.40642314,454.2020264
748.1338367,-90.22430899,46.4066129,454.2020264
779.3060799,-90.2246079,46.40680266,454.2020264
810.4783231,-90.22490682,46.40699242,454.2020264
841.6505663,-90.22520574,46.40718218,454.2020264
872.8228095,-90.22550466,46.40737194,454.2020264
903.9950527,-90.22580358,46.40756169,454.2020264
935.1672959,-90.22610249,46.40775145,454.2020264
966.3395391,-90.22640141,46.40794121,454.2020264
997.5117823,-90.22670033,46.40813097,454.2020264
1028.684025,-90.22699925,46.40832073,454.2020264
1059.856269,-90.22729817,46.40851049,454.2020264
1091.028512,-90.22759708,46.40870025,454.2020264
1122.200755,-90.227896,46.40889,454.2020264
1153.372998,-90.22819492,46.40907976,454.2020264
1184.545241,-90.22849384,46.40926952,454.2020264
1215.717485,-90.22879275,46.40945928,454.2020264
1246.889728,-90.22909167,46.40964904,454.2020264
1278.061971,-90.22939059,46.4098388,454.2020264
1309.234214,-90.22968951,46.41002856,454.2020264
1340.406457,-90.22998843,46.41021832,454.2020264
1371.578701,-90.23028734,46.41040807,454.2020264
1402.750944,-90.23058626,46.41059783,454.2020264
1433.923187,-90.23088518,46.41078759,454.2020264
1465.09543,-90.2311841,46.41097735,454.2020264
1496.267673,-90.23148302,46.41116711,454.2020264
1527.439917,-90.23178193,46.41135687,454.2020264
1558.61216,-90.23208085,46.41154663,454.2020264
1589.784403,-90.23237977,46.41173639,454.2020264
1620.956646,-90.23267869,46.41192614,454.2020264
1652.128889,-90.23297761,46.4121159,454.2020264
1683.301133,-90.23327652,46.41230566,454.2020264
1714.473376,-90.23357544,46.41249542,454.2020264
1745.645619,-90.23387436,46.41268518,454.2020264
1776.817862,-90.23417328,46.41287494,454.2020264
1807.990105,-90.2344722,46.4130647,454.2020264
1839.162349,-90.23477111,46.41325445,454.2020264
1870.334592,-90.23507003,46.41344421,454.2020264
1901.506835,-90.23536895,46.41363397,454.2020264
