length,lon,lat,elevation
0,-88.12261505,48.70169158,39.77369308
105.125,-88.12177674,48.70092641,25.77369308
210.25,-88.12093843,48.70016124,21.7737999
315.375,-88.12010012,48.69939607,20.7737999
420.5,-88.11926182,48.6986309,17.7737999
525.625,-88.11842351,48.69786573,14.77380085
630.75,-88.1175852,48.69710056,16.77390671
735.875,-88.11674689,48.69633539,14.77390766
841,-88.11590859,48.69557022,16.77390671
946.125,-88.11507028,48.69480505,14.77390766
1051.25,-88.11423197,48.69403988,10.77399921
1156.375,-88.11339366,48.69327471,8.773999214
1261.5,-88.11255535,48.69250954,9.773999214
1366.625,-88.11171705,48.69174438,14.07400227
1471.75,-88.11087874,48.69097921,12.57410908
1576.875,-88.11004043,48.69021404,11.37411213
1682,-88.10920212,48.68944887,10.17409992
1787.125,-88.10836382,48.6886837,8.874112129
1892.25,-88.10752551,48.68791853,8.674099922
1997.375,-88.1066872,48.68715336,6.974195004
2102.5,-88.10584889,48.68638819,5.374204159
2207.625,-88.10501059,48.68562302,3.97419405
2312.75,-88.10417228,48.68485785,2.774197102
2417.875,-88.10333397,48.68409268,2.074306965
2523,-88.10249566,48.68332751,1.674298048
2628.125,-88.10165736,48.68256234,1.774304032
2733.25,-88.10081905,48.68179717,2.074306965
2838.375,-88.09998074,48.681032,2.174390078
2943.5,-88.09914243,48.68026683,1.874402046
3048.625,-88.09830413,48.67950166,1.274395943
3153.75,-88.09746582,48.67873649,0.47439301
3258.875,-88.09662751,48.67797132,0.9745
3364,-88.0957892,48.67720615,1.574506044
3469.125,-88.09495089,48.67644098,-3.225497007
3574.25,-88.09411259,48.67567581,3.774502993
3679.375,-88.09327428,48.67491064,39.77459335
3784.5,-88.09243597,48.67414547,66.77459717
3889.625,-88.09159766,48.6733803,68.77459717
3994.75,-88.09075936,48.67261513,58.77459335
4099.875,-88.08992105,48.67184996,40.77470016
4205,-88.08908274,48.67108479,15.77470112
4310.125,-88.08824443,48.67031962,6.774701118
4415.25,-88.08740613,48.66955445,6.774701118
4520.375,-88.08656782,48.66878928,4.774701118
4625.5,-88.08572951,48.66802411,24.77479172
4730.625,-88.0848912,48.66725894,24.77479172
4835.75,-88.0840529,48.66649377,11.77479267
4940.875,-88.08321459,48.6657286,6.77480793
5046,-88.08237628,48.66496343,18.67489243
5151.125,-88.08153797,48.66419826,18.17489243
5256.25,-88.08069967,48.66343309,16.97489548
5361.375,-88.07986136,48.66266792,14.87490559
5466.5,-88.07902305,48.66190275,11.97500324
5571.625,-88.07818474,48.66113758,8.675000191
5676.75,-88.07734643,48.66037241,5.175000191
5781.875,-88.07650813,48.65960724,4.175000191
5887,-88.07566982,48.65884207,0.675091982
5992.125,-88.07483151,48.6580769,-2.62489605
6097.25,-88.0739932,48.65731174,-5.82490778
6202.375,-88.0731549,48.65654657,-9.024905205
6307.5,-88.07231659,48.6557814,-12.22490215
6412.625,-88.07147828,48.65501623,-15.42479229
6517.75,-88.07063997,48.65425106,-18.02479935
6622.875,-88.06980167,48.65348589,-19.7247963
6728,-88.06896336,48.65272072,-20.3248024
6833.125,-88.06812505,48.65195555,-19.92470169
6938.25,-88.06728674,48.65119038,-18.82471085
7043.375,-88.06644844,48.65042521,-17.62469864
7148.5,-88.06561013,48.64966004,-16.12469864
7253.625,-88.06477182,48.64889487,-15.12459087
7358.75,-88.06393351,48.6481297,-14.72459698
7463.875,-88.06309521,48.64736453,-15.12459087
7569,-88.0622569,48.64659936,-15.92459393
7674.125,-88.06141859,48.64583419,-17.12450027
7779.25,-88.06058028,48.64506902,-18.62450027
7884.375,-88.05974197,48.64430385,-20.92450333
7989.5,-88.05890367,48.64353868,-24.62450027
8094.625,-88.05806536,48.64277351,-30.72450638
8199.75,-88.05722705,48.64200834,-40.12439346
8304.875,-88.05638874,48.64124317,-52.42439651
8410,-88.05555044,48.640478,-56.32439804
