length,lon,lat,elevation
0,-88.08502469,48.71832205,-18.52550125
100.8333333,-88.08555865,48.71748715,-23.6254921
201.6666667,-88.0860926,48.71665226,-24.92549515
302.5,-88.08662655,48.71581736,-29.1254921
403.3333333,-88.08716051,48.71498247,-32.02560806
504.1666667,-88.08769446,48.71414757,-31.02560806
605,-88.08822842,48.71331268,-31.52560806
705.8333333,-88.08876237,48.71247778,-30.82561111
806.6666667,-88.08929632,48.71164289,-29.02560806
907.5,-88.08983028,48.71080799,-27.62559891
1008.333333,-88.09036423,48.70997309,-26.12559891
1109.166667,-88.09089818,48.7091382,-24.62559891
1210,-88.09143214,48.7083033,-23.02560806
1310.833333,-88.09196609,48.70746841,-21.62559891
1411.666667,-88.09250005,48.70663351,-19.42560196
1512.5,-88.093034,48.70579862,-16.72560501
1613.333333,-88.09356795,48.70496372,-13.92560101
1714.166667,-88.09410191,48.70412883,-10.72560406
1815,-88.09463586,48.70329393,-7.425693035
1915.833333,-88.09516982,48.70245903,-5.32570219
2016.666667,-88.09570377,48.70162414,-2.925693035
2117.5,-88.09623772,48.70078924,-5.225696087
2218.333333,-88.09677168,48.69995435,-2.225696087
2319.166667,-88.09730563,48.69911945,-1.225695968
2420,-88.09783959,48.69828456,-3.225696087
2520.833333,-88.09837354,48.69744966,0.874310017
2621.666667,-88.09890749,48.69661477,1.374310017
2722.5,-88.09944145,48.69577987,1.174298048
2823.333333,-88.0999754,48.69494498,2.074306965
2924.166667,-88.10050935,48.69411008,3.574306965
3025,-88.10104331,48.69327518,3.574306965
3125.833333,-88.10157726,48.69244029,5.074306965
3226.666667,-88.10211122,48.69160539,6.474195004
3327.5,-88.10264517,48.6907705,5.774198055
3428.333333,-88.10317912,48.6899356,6.474195004
3529.166667,-88.10371308,48.68910071,5.474195004
3630,-88.10424703,48.68826581,5.574201107
3730.833333,-88.10478099,48.68743092,5.574201107
3831.666667,-88.10531494,48.68659602,4.674190998
3932.5,-88.10584889,48.68576113,4.574201107
4033.333333,-88.10638285,48.68492623,4.474195004
4134.166667,-88.1069168,48.68409133,3.774197102
4235,-88.10745076,48.68325644,3.674190998
4335.833333,-88.10798471,48.68242154,3.674190998
4436.666667,-88.10851866,48.68158665,3.174190998
4537.5,-88.10905262,48.68075175,3.174190998
4638.333333,-88.10958657,48.67991686,3.374111891
4739.166667,-88.11012052,48.67908196,2.674099922
4840,-88.11065448,48.67824707,2.574109077
4940.833333,-88.11118843,48.67741217,1.574108958
5041.666667,-88.11172239,48.67657728,0.974102974
5142.5,-88.11225634,48.67574238,0.074109003
5243.333333,-88.11279029,48.67490748,-1.925891042
5344.166667,-88.11332425,48.67407259,-3.825900078
5445,-88.1138582,48.67323769,-6.325900078
5545.833333,-88.11439216,48.6724028,-9.125887871
5646.666667,-88.11492611,48.6715679,-11.82590008
5747.5,-88.11546006,48.67073301,-14.22589397
5848.333333,-88.11599402,48.66989811,-16.32590103
5949.166667,-88.11652797,48.66906322,-17.72589493
6050,-88.11706193,48.66822832,-18.62588882
6150.833333,-88.11759588,48.66739343,-18.92599869
6251.666667,-88.11812983,48.66655853,-18.92599869
6352.5,-88.11866379,48.66572363,-17.92599869
6453.333333,-88.11919774,48.66488874,-16.72600174
6554.166667,-88.1197317,48.66405384,-15.42599773
6655,-88.12026565,48.66321895,-13.12599468
6755.833333,-88.1207996,48.66238405,-12.32600689
6856.666667,-88.12133356,48.66154916,-12.42599773
6957.5,-88.12186751,48.66071426,-10.92599773
7058.333333,-88.12240146,48.65987937,-12.02600384
7159.166667,-88.12293542,48.65904447,-13.12599468
7260,-88.12346937,48.65820958,-11.82600689
7360.833333,-88.12400333,48.65737468,-13.02600384
7461.666667,-88.12453728,48.65653978,-11.62599468
7562.5,-88.12507123,48.65570489,-13.22609234
7663.333333,-88.12560519,48.65486999,-14.72609234
7764.166667,-88.12613914,48.6540351,-13.72609234
7865,-88.1266731,48.6532002,-15.32609844
7965.833333,-88.12720705,48.65236531,-16.72609329
8066.666667,-88.127741,48.65153041,-16.12608719
8167.5,-88.12827496,48.65069552,-17.52609634
8268.333333,-88.12880891,48.64986062,-18.72609329
8369.166667,-88.12934287,48.64902573,-18.62608719
8470,-88.12987682,48.64819083,-19.52609634
8570.833333,-88.13041077,48.64735593,-19.52609634
8671.666667,-88.13094473,48.64652104,-20.02609634
8772.5,-88.13147868,48.64568614,-20.12608719
8873.333333,-88.13201263,48.64485125,-20.22609329
8974.166667,-88.13254659,48.64401635,-20.2262001
9075,-88.13308054,48.64318146,-20.126194
9175.833333,-88.1336145,48.64234656,-20.126194
9276.666667,-88.13414845,48.64151167,-20.02620316
9377.5,-88.1346824,48.64067677,-20.02620316
9478.333333,-88.13521636,48.63984187,-20.02620316
9579.166667,-88.13575031,48.63900698,-19.92619705
9680,-88.13628427,48.63817208,-19.92619705
9780.833333,-88.13681822,48.63733719,-19.92619705
9881.666667,-88.13735217,48.63650229,-20.02620316
9982.5,-88.13788613,48.6356674,-20.02620316
10083.33333,-88.13842008,48.6348325,-20.126194
10184.16667,-88.13895404,48.63399761,-20.32620621
10285,-88.13948799,48.63316271,-20.32620621
10385.83333,-88.14002194,48.63232782,-20.42630386
10486.66667,-88.1405559,48.63149292,-20.52630997
10587.5,-88.14108985,48.63065802,-20.42630386
10688.33333,-88.14162381,48.62982313,-20.42630386
10789.16667,-88.14215776,48.62898823,-20.52630997
10890,-88.14269171,48.62815334,-20.42630386
10990.83333,-88.14322567,48.62731844,-20.52630997
11091.66667,-88.14375962,48.62648355,-20.62630081
11192.5,-88.14429357,48.62564865,-20.62630081
11293.33333,-88.14482753,48.62481376,-20.92630386
11394.16667,-88.14536148,48.62397886,-20.92630386
11495,-88.14589544,48.62314397,-21.22630692
11595.83333,-88.14642939,48.62230907,-21.72630692
11696.66667,-88.14696334,48.62147417,-21.82631302
11797.5,-88.1474973,48.62063928,-22.52640152
11898.33333,-88.14803125,48.61980438,-23.22639847
11999.16667,-88.14856521,48.61896949,-23.32640457
12100,-88.14909916,48.61813459,-24.12639236
12200.83333,-88.14963311,48.6172997,-24.82640457
12301.66667,-88.15016707,48.6164648,-24.62639236
12402.5,-88.15070102,48.61562991,-24.82640457
12503.33333,-88.15123498,48.61479501,-24.02640152
12604.16667,-88.15176893,48.61396012,-22.22639847
12705,-88.15230288,48.61312522,-18.02640152
12805.83333,-88.15283684,48.61229032,-15.52640057
12906.66667,-88.15337079,48.61145543,-9.126391411
13007.5,-88.15390474,48.61062053,-2.326404095
13108.33333,-88.1544387,48.60978564,-2.526401043
13209.16667,-88.15497265,48.60895074,1.473492026
13310,-88.15550661,48.60811585,3.773494959
13410.83333,-88.15604056,48.60728095,1.173488975
13511.66667,-88.15657451,48.60644606,1.873502016
13612.5,-88.15710847,48.60561116,1.773494959
13713.33333,-88.15764242,48.60477627,-0.726504982
13814.16667,-88.15817638,48.60394137,-1.426501989
13915,-88.15871033,48.60310647,-3.526508093
14015.83333,-88.15924428,48.60227158,-4.426500797
14116.66667,-88.15977824,48.60143668,-5.526506901
14217.5,-88.16031219,48.60060179,-6.726503849
14318.33333,-88.16084615,48.59976689,-7.726503849
14419.16667,-88.1613801,48.598932,-8.726504326
14520,-88.16191405,48.5980971,-9.626498222
14620.83333,-88.16244801,48.59726221,-10.52659893
14721.66667,-88.16298196,48.59642731,-11.62658978
14822.5,-88.16351591,48.59559242,-12.12658978
14923.33333,-88.16404987,48.59475752,-13.02659893
15024.16667,-88.16458382,48.59392262,-14.02659893
15125,-88.16511778,48.59308773,-14.22659588
15225.83333,-88.16565173,48.59225283,-15.32660198
15326.66667,-88.16618568,48.59141794,-15.52659893
15427.5,-88.16671964,48.59058304,-16.72659683
15528.33333,-88.16725359,48.58974815,-18.42659378
15629.16667,-88.16778755,48.58891325,-18.52659988
15730,-88.1683215,48.58807836,-20.72659683
