id,strike,dip,lon,lat
1,218.2397156,72.99668884,-90.63853607,46.41384069
1,219.9975586,72.27500916,-90.63797825,46.41371358
1,214.0860291,67.45671844,-90.63760425,46.41385578
1,197.5107117,76.4127655,-90.64327318,46.39199905
1,203.1796265,72.77021027,-90.64004858,46.38784057
1,205.0937805,73.55464172,-90.63922456,46.38722425
1,210.004303,74.13057709,-90.63801949,46.3872758
1,213.3612061,74.96756744,-90.63758447,46.38613096
1,203.7450562,75.13057709,-90.63715297,46.38685713
1,210.9915466,75.47118378,-90.63686891,46.3852701
1,206.9143982,74.54710388,-90.63358052,46.38522383
1,211.5521545,69.89874268,-90.63375092,46.38523871
1,225.8876038,69.46185303,-90.63375092,46.38523871
1,207.9778442,68.02501678,-90.63386408,46.38526042
1,207.230072,63.56770325,-90.63386408,46.38526042
1,211.8460693,70.29199219,-90.63386408,46.38526042
