id,strike,dip,lon,lat
18,65,12,-88.164784,48.605248
19,43,12,-88.174415,48.607343
20,42,10,-88.192148,48.590795
23,55,10,-88.157522,48.615971
30,39,6,-88.217967,48.593955
AP71,42,10,-88.19866478,48.607155
AP pmag,70.3,13,-88.19861297,48.610124
