length,lon,lat,elevation
0,-88.1449549,48.69197121,56.77329636
100.149425,-88.14411871,48.69126109,59.77329636
200.29885,-88.14328251,48.69055097,54.77329636
300.448275,-88.14244632,48.68984085,49.77329636
400.5977,-88.14161013,48.68913073,46.77340317
500.747125,-88.14077393,48.68842061,54.77340317
600.89655,-88.13993774,48.68771049,66.77340698
701.045975,-88.13910155,48.68700037,69.77340698
801.1954,-88.13826535,48.68629025,68.77349854
901.344825,-88.13742916,48.68558013,63.77349472
1001.49425,-88.13659297,48.68487001,51.77349472
1101.643675,-88.13575677,48.68415989,48.77349472
1201.7931,-88.13492058,48.68344977,45.77349472
1301.942525,-88.13408439,48.68273965,42.77360153
1402.09195,-88.13324819,48.68202954,63.77360153
1502.241375,-88.132412,48.68131942,45.77360153
1602.3908,-88.13157581,48.6806093,43.77360153
1702.540225,-88.13073961,48.67989918,37.77369308
1802.68965,-88.12990342,48.67918906,36.77369308
1902.839075,-88.12906723,48.67847894,28.77369308
2002.9885,-88.12823103,48.67776882,26.77369308
2103.137925,-88.12739484,48.6770587,23.7737999
2203.28735,-88.12655865,48.67634858,21.7737999
2303.436775,-88.12572245,48.67563846,20.7737999
2403.5862,-88.12488626,48.67492834,20.873806
2503.735625,-88.12405007,48.67421822,15.77390766
2603.88505,-88.12321387,48.6735081,9.47390461
2704.034475,-88.12237768,48.67279798,2.773906946
2804.1839,-88.12154149,48.67208786,0.873914003
2904.333325,-88.12070529,48.67137774,-4.726091862
3004.48275,-88.1198691,48.67066762,-9.526003838
3104.632175,-88.11903291,48.6699575,-13.52600384
3204.7816,-88.11819671,48.66924738,-16.62599564
3304.931025,-88.11736052,48.66853726,-18.52600479
3405.08045,-88.11652433,48.66782714,-18.72589493
3505.229875,-88.11568813,48.66711702,-18.02589798
3605.3793,-88.11485194,48.6664069,-15.62588787
3705.528725,-88.11401575,48.66569678,-11.32590008
3805.67815,-88.11317955,48.66498666,-6.225801945
3905.827575,-88.11234336,48.66427654,-6.225801945
4005.977,-88.11150717,48.66356642,11.77419758
4106.126425,-88.11067097,48.6628563,41.77419662
4206.27585,-88.10983478,48.66214618,53.77419662
4306.425275,-88.10899859,48.66143606,85.77430725
4406.5747,-88.10816239,48.66072594,117.7743073
4506.724125,-88.1073262,48.66001582,135.7743073
4606.87355,-88.10649001,48.6593057,145.7743073
4707.022975,-88.10565381,48.65859558,172.7743988
4807.1724,-88.10481762,48.65788546,168.7743988
4907.321825,-88.10398143,48.65717534,157.7743988
5007.47125,-88.10314523,48.65646522,139.7743988
5107.620675,-88.10230904,48.6557551,125.7744904
5207.7701,-88.10147285,48.65504498,86.77449036
5307.919525,-88.10063665,48.65433486,46.7745018
5408.06895,-88.09980046,48.65362474,21.7745018
5508.218375,-88.09896427,48.65291462,10.77459431
5608.3678,-88.09812807,48.6522045,3.774594069
5708.517225,-88.09729188,48.65149438,0.774594009
5808.66665,-88.09645569,48.65078426,4.77459383
5908.816075,-88.09561949,48.65007414,6.574596882
6008.9655,-88.0947833,48.64936402,5.174695015
6109.114925,-88.09394711,48.6486539,3.274701118
6209.26435,-88.09311091,48.64794378,1.974697948
6309.413775,-88.09227472,48.64723366,-0.525301993
6409.5632,-88.09143853,48.64652354,-3.225208044
6509.712625,-88.09060233,48.64581342,-6.125201225
6609.86205,-88.08976614,48.6451033,-9.125201225
6710.011475,-88.08892995,48.64439318,-12.22520733
6810.1609,-88.08809375,48.64368306,-15.12509441
6910.310325,-88.08725756,48.64297294,-15.82510662
7010.45975,-88.08642137,48.64226282,-18.02510452
7110.609175,-88.08558517,48.6415527,-19.42509842
7210.7586,-88.08474898,48.64084258,-20.02510452
7310.908025,-88.08391279,48.64013246,-20.02499771
7411.05745,-88.08307659,48.63942234,-19.72499466
7511.206875,-88.0822404,48.63871222,-19.42499161
7611.3563,-88.08140421,48.6380021,-19.42499161
7711.505725,-88.08056801,48.63729198,-19.32490921
7811.65515,-88.07973182,48.63658186,-19.624897
7911.804575,-88.07889563,48.63587174,-20.624897
8011.954,-88.07805943,48.63516162,-22.82490921
8112.103425,-88.07722324,48.6344515,-26.42479324
8212.25285,-88.07638705,48.63374138,-31.62479019
8312.402275,-88.07555085,48.63303126,-32.92479324
8412.5517,-88.07471466,48.63232114,-40.02479935
8512.701125,-88.07387847,48.63161102,-48.62479019
8612.85055,-88.07304227,48.6309009,-59.12469864
8712.999975,-88.07220608,48.63019078,-71.2246933
